GISSect,EDI_Score,Risk_Score,Crowding_Score,Deprivation_Score
EH 1 1,6.37795293030501,0.0,6.37795293030501,0.0
EH 1 2,5.469870677002003,0.0,5.469870677002003,0.0
EH 1 3,5.958535811995945,0.0,5.958535811995945,0.0
EH 2 1,3.9978680504095117,0.0,3.9978680504095117,0.0
EH 2 2,3.2309415332563676,0.0,3.2309415332563676,0.0
EH 2 3,9.739821224764546,0.0,9.739821224764546,0.0
EH 2 4,7.06637795409547,0.0,7.06637795409547,0.0
EH 3 5,10.543909637691343,1.255951447678596,4.586215707360471,4.701742482652275
EH 3 6,11.031826549464373,0.0,9.024532276916645,2.0072942725477287
EH 3 7,10.0,0.0,10.0,0.0
EH 3 8,5.8452467423556795,0.0,5.8452467423556795,0.0
EH 3 9,4.5471774871628075,0.0,4.5471774871628075,0.0
EH 4 1,19.651396493334925,10.0,5.517880236258379,4.133516257076546
EH 4 2,16.233405796153736,0.4945737670418342,8.716538155321022,7.02229387379088
EH 4 3,11.833166287734041,2.7171285661675215,4.923583116862405,4.192454604704116
EH 4 4,8.246046687242766,0.0,8.246046687242766,0.0
EH 4 5,3.927956966277822,0.0,3.927956966277822,0.0
EH 4 6,0.4342719450830848,0.0,0.4342719450830848,0.0
EH 4 7,3.753606399190644,0.0,3.753606399190644,0.0
EH 5 1,3.250405438504945,0.0,3.250405438504945,0.0
EH 5 2,7.628513125620867,0.0,7.628513125620867,0.0
EH 5 3,8.99060160710044,0.0,8.99060160710044,0.0
EH 6 4,14.332145359681867,0.29816085990104263,8.460796515178432,5.573187984602392
EH 6 5,21.7428719071861,8.028151239927418,7.920678359887956,5.7940423073707255
EH 6 6,14.973740401901768,4.1074050934995725,3.078772605992176,7.78756270241002
EH 6 7,6.704836074164884,0.0,1.3922021292587103,5.312633944906174
EH 6 8,8.539533223513706,0.0,8.539533223513706,0.0
EH 7 4,12.963143088569248,1.0073196897571508,7.361649062832928,4.5941743359791705
EH 7 5,5.522489383528984,0.0,5.522489383528984,0.0
EH 7 6,1.216199448249672,0.0,1.216199448249672,0.0
EH 8 7,0.13542155743214765,0.0,0.13542155743214765,0.0
EH 8 8,3.6146682144992845,0.0,3.6146682144992845,0.0
EH 8 9,5.461899280516749,0.0,5.461899280516749,0.0
EH 9 1,6.886405313399588,0.0,6.886405313399588,0.0
EH 9 2,10.87026820304471,0.45876789924164013,7.967050158374528,2.444450145428541
EH 9 3,12.970100630491935,4.5266786725801555,4.280537150336047,4.1628848075757325
EH10 4,6.315606195077792,0.0,6.315606195077792,0.0
EH10 5,9.188666864272449,0.0,6.569321846567206,2.619345017705242
EH10 6,5.220772677332453,0.0,1.147000455214147,4.073772222118306
EH11 1,6.822602991138386,0.0,6.822602991138386,0.0
EH11 2,15.833509450827915,1.0867393510709207,4.7467700997569935,10.0
EH11 3,17.37350760981159,3.7986894094454344,5.799012587855825,7.775805612510329
EH11 4,10.415535837533,1.207417137425384,1.4240153164474212,7.784103383660193
EH12 5,19.111638059288673,5.00837363784159,5.776130529890886,8.327133891556196
EH12 6,11.320424376879323,5.540260246175762,4.281458812970641,1.49870531773292
EH12 7,5.48661287282558,0.0,5.48661287282558,0.0
EH12 8,0.720234797251132,0.0,0.720234797251132,0.0
EH12 9,0.014085966024075155,0.0,0.014085966024075155,0.0
EH13 0,2.701273497387489,0.0,0.07347663480326631,2.6277968625842227
EH13 9,9.324369431545051,0.10349353022196477,0.5191635725559614,8.701712328767124
EH14 1,14.436028653461197,0.2200752452833519,5.453524247210871,8.762429160966974
EH14 2,9.481608198368825,0.8060650004022133,4.4665948966861535,4.208948301280459
EH14 3,0.8758412600278621,0.0,0.8758412600278621,0.0
EH15 3,0.0,0.0,0.0,0.0
EH16 4,7.277957225038666,0.001612157533931292,0.07189917386026448,7.20444589364447
EH16 5,11.159392007728153,0.2090111669650233,4.16822706852541,6.782153772237719
EH16 6,9.782779638783358,0.0,2.186703884302812,7.596075754480546
EH17 7,0.10800025623210337,0.0,0.10800025623210337,0.0
